Sample,File,Log Likelihood,# of Tokens,Perplexity
1,chunk_2203.txt,2.845695734024048,437,17.213529586791992
2,chunk_50822.txt,2.7196671962738037,921,15.175271034240723
3,chunk_4352.txt,2.578768253326416,732,13.180892944335938
4,chunk_57669.txt,2.81264066696167,502,16.653837203979492
5,chunk_42142.txt,3.729295253753662,71,41.649742126464844
6,chunk_44372.txt,2.4317691326141357,838,11.378995895385742
7,chunk_48094.txt,2.6828622817993164,743,14.626899719238281
8,chunk_16891.txt,2.879105567932129,460,17.79834747314453
9,chunk_44182.txt,2.6296072006225586,777,13.868321418762207
10,chunk_30231.txt,1.7785701751708984,537,5.921384334564209
11,chunk_41229.txt,2.693779706954956,671,14.78746223449707
12,chunk_32549.txt,1.9152735471725464,663,6.7887959480285645
13,chunk_23252.txt,1.9623700380325317,804,7.116173267364502
14,chunk_35644.txt,2.335644006729126,1434,10.336114883422852
15,chunk_6100.txt,2.4446098804473877,593,11.526052474975586
16,chunk_32165.txt,2.8360047340393066,777,17.04751968383789
17,chunk_53943.txt,2.4368550777435303,754,11.437015533447266
18,chunk_40764.txt,1.765150785446167,447,5.8424530029296875
19,chunk_29772.txt,5.818026065826416,45,336.30755615234375
20,chunk_23752.txt,2.4914565086364746,915,12.078856468200684
21,chunk_37803.txt,5.476192951202393,47,238.9353485107422
22,chunk_41659.txt,2.2267613410949707,830,9.269796371459961
23,chunk_48924.txt,2.3343565464019775,697,10.322815895080566
24,chunk_52060.txt,1.5145667791366577,998,4.547450542449951
25,chunk_59527.txt,2.4533402919769287,506,11.627120018005371
26,chunk_13848.txt,2.6957855224609375,1115,14.817153930664062
27,chunk_17691.txt,3.0640859603881836,417,21.414878845214844
28,chunk_22148.txt,2.850409984588623,549,17.294870376586914
29,chunk_25742.txt,2.584698438644409,569,13.259289741516113
30,chunk_19134.txt,1.5712708234786987,904,4.812760353088379
31,chunk_12334.txt,2.557882070541382,1104,12.908449172973633
32,chunk_22776.txt,2.640101671218872,497,14.014629364013672
33,chunk_6512.txt,2.9475886821746826,689,19.059938430786133
34,chunk_16752.txt,2.750328779220581,609,15.647774696350098
35,chunk_10429.txt,2.9706499576568604,1001,19.504592895507812
36,chunk_26273.txt,2.794145345687866,767,16.348649978637695
37,chunk_23381.txt,3.016047477722168,546,20.410459518432617
38,chunk_38762.txt,2.929996967315674,738,18.72757339477539
39,chunk_18038.txt,2.493286371231079,1605,12.10097885131836
40,chunk_49300.txt,2.670016288757324,531,14.440203666687012
41,chunk_43091.txt,2.5042881965637207,650,12.234847068786621
42,chunk_6540.txt,2.4247074127197266,1362,11.298922538757324
43,chunk_24226.txt,2.508226156234741,655,12.283122062683105
44,chunk_61668.txt,2.6176252365112305,863,13.703143119812012
45,chunk_36920.txt,2.4609599113464355,329,11.716053009033203
46,chunk_43553.txt,2.7152912616729736,724,15.109009742736816
47,chunk_20245.txt,2.8802225589752197,797,17.8182373046875
48,chunk_51383.txt,2.7626595497131348,625,15.841919898986816
49,chunk_45706.txt,2.742492914199829,1008,15.525640487670898
50,chunk_46036.txt,3.3460311889648438,67,28.389835357666016
51,chunk_57260.txt,1.4494984149932861,312,4.260976791381836
52,chunk_15675.txt,2.7475433349609375,884,15.604249954223633
53,chunk_12576.txt,2.414752244949341,982,11.18699836730957
54,chunk_19655.txt,2.740959405899048,1330,15.501850128173828
55,chunk_19374.txt,2.693530797958374,1144,14.783782958984375
56,chunk_43405.txt,2.190056800842285,3471,8.935720443725586
57,chunk_54440.txt,2.949681520462036,715,19.099870681762695
58,chunk_63098.txt,2.643611431121826,762,14.063902854919434
59,chunk_34225.txt,3.2815041542053223,730,26.61577796936035
60,chunk_19506.txt,2.2138149738311768,941,9.150558471679688
61,chunk_219.txt,2.6571409702301025,501,14.255475044250488
62,chunk_33894.txt,2.893645763397217,526,18.05902862548828
63,chunk_25289.txt,3.0089917182922363,909,20.266956329345703
64,chunk_1347.txt,2.563490629196167,2844,12.981050491333008
65,chunk_39498.txt,2.6502304077148438,919,14.15730094909668
66,chunk_52870.txt,2.483532190322876,849,11.98351764678955
67,chunk_38029.txt,10.513625144958496,28,36813.69140625
68,chunk_3463.txt,2.3645522594451904,956,10.639274597167969
69,chunk_55195.txt,3.011427640914917,525,20.316383361816406
70,chunk_56941.txt,3.123317003250122,1124,22.721622467041016
71,chunk_16196.txt,3.0186102390289307,737,20.462833404541016
72,chunk_53957.txt,2.32411527633667,1257,10.217637062072754
73,chunk_7523.txt,2.86860728263855,562,17.612472534179688
74,chunk_11147.txt,2.858093500137329,767,17.428268432617188
75,chunk_33192.txt,2.585165023803711,605,13.265478134155273
76,chunk_188.txt,2.6470303535461426,384,14.112068176269531
77,chunk_31399.txt,2.703104019165039,324,14.92599105834961
78,chunk_41317.txt,2.938323497772217,801,18.8841609954834
79,chunk_38185.txt,3.1173112392425537,1358,22.5855712890625
80,chunk_12091.txt,2.9705467224121094,826,19.502580642700195
81,chunk_32598.txt,2.621208667755127,844,13.752335548400879
82,chunk_50215.txt,2.7810587882995605,1009,16.136096954345703
83,chunk_9608.txt,3.6957828998565674,371,40.27709197998047
