Sample,File,Log Likelihood,# of Tokens,Perplexity
1,chunk_2203.txt,2.8559763431549072,455,17.391408920288086
2,chunk_50822.txt,2.709226369857788,939,15.017653465270996
3,chunk_4352.txt,2.6158735752105713,750,13.679161071777344
4,chunk_57669.txt,2.814117670059204,520,16.67845344543457
5,chunk_42142.txt,3.8938159942626953,89,49.0978889465332
6,chunk_44372.txt,2.47808837890625,856,11.918458938598633
7,chunk_48094.txt,2.706186532974243,761,14.972070693969727
8,chunk_16891.txt,2.90864634513855,478,18.331968307495117
9,chunk_44182.txt,2.654710054397583,795,14.22086238861084
10,chunk_30231.txt,1.7878422737121582,555,5.976542949676514
11,chunk_41229.txt,2.741570472717285,689,15.511326789855957
12,chunk_32549.txt,1.8751863241195679,681,6.522034168243408
13,chunk_23252.txt,1.981338620185852,822,7.252444744110107
14,chunk_35644.txt,2.3213322162628174,1452,10.189239501953125
15,chunk_6100.txt,2.4447591304779053,611,11.5277738571167
16,chunk_32165.txt,2.8806779384613037,795,17.826353073120117
17,chunk_53943.txt,2.482656478881836,772,11.973028182983398
18,chunk_40764.txt,1.764138102531433,465,5.8365397453308105
19,chunk_29772.txt,5.558082580566406,63,259.3251037597656
20,chunk_23752.txt,2.5101242065429688,933,12.306458473205566
21,chunk_37803.txt,5.264252662658691,65,193.30178833007812
22,chunk_41659.txt,2.1989402770996094,848,9.01545524597168
23,chunk_48924.txt,2.3598978519439697,715,10.589869499206543
24,chunk_52060.txt,1.5053831338882446,1016,4.5058794021606445
25,chunk_59527.txt,2.4697601795196533,524,11.819611549377441
26,chunk_13848.txt,2.710245132446289,1133,15.032960891723633
27,chunk_17691.txt,3.0577216148376465,435,21.279020309448242
28,chunk_22148.txt,2.882472276687622,567,17.858369827270508
29,chunk_25742.txt,2.6085214614868164,587,13.578959465026855
30,chunk_19134.txt,1.5766143798828125,922,4.838546276092529
31,chunk_12334.txt,2.553995132446289,1122,12.858372688293457
32,chunk_22776.txt,2.6297364234924316,515,13.870113372802734
33,chunk_6512.txt,3.0065395832061768,707,20.217317581176758
34,chunk_16752.txt,2.7690696716308594,627,15.943795204162598
35,chunk_10429.txt,2.981916666030884,1019,19.725587844848633
36,chunk_26273.txt,2.818941593170166,785,16.75910186767578
37,chunk_23381.txt,3.061068534851074,564,21.350358963012695
38,chunk_38762.txt,2.9618241786956787,756,19.333208084106445
39,chunk_18038.txt,2.499674081802368,1623,12.178524017333984
40,chunk_49300.txt,2.711301803588867,549,15.048853874206543
41,chunk_43091.txt,2.5126070976257324,668,12.337051391601562
42,chunk_6540.txt,2.4365932941436768,1380,11.434021949768066
43,chunk_24226.txt,2.5379788875579834,673,12.654069900512695
44,chunk_61668.txt,2.6322810649871826,881,13.9054536819458
45,chunk_36920.txt,2.4688291549682617,347,11.808612823486328
46,chunk_43553.txt,2.7243988513946533,742,15.247244834899902
47,chunk_20245.txt,2.894476890563965,815,18.07404327392578
48,chunk_51383.txt,2.7576568126678467,643,15.762864112854004
49,chunk_45706.txt,2.7622992992401123,1026,15.836213111877441
50,chunk_46036.txt,3.437194585800171,85,31.09958839416504
51,chunk_57260.txt,1.4499332904815674,330,4.2628302574157715
52,chunk_15675.txt,2.7723398208618164,902,15.99601936340332
53,chunk_12576.txt,2.42578125,1000,11.311062812805176
54,chunk_19655.txt,2.73633074760437,1348,15.43026351928711
55,chunk_19374.txt,2.709506034851074,1162,15.02185344696045
56,chunk_43405.txt,2.1797409057617188,3489,8.844014167785645
57,chunk_54440.txt,2.8696913719177246,733,17.631576538085938
58,chunk_63098.txt,2.6676762104034424,780,14.406452178955078
59,chunk_34225.txt,3.2302868366241455,748,25.286909103393555
60,chunk_19506.txt,2.2054641246795654,959,9.074461936950684
61,chunk_219.txt,2.7063217163085938,519,14.974095344543457
62,chunk_33894.txt,2.9693353176116943,544,19.478967666625977
63,chunk_25289.txt,3.031925678253174,927,20.73712730407715
64,chunk_1347.txt,2.568847894668579,2862,13.050780296325684
65,chunk_39498.txt,2.670469045639038,937,14.446743965148926
66,chunk_52870.txt,2.4824841022491455,867,11.970964431762695
67,chunk_38029.txt,11.375702857971191,46,87177.6171875
68,chunk_3463.txt,2.394897699356079,974,10.96707534790039
69,chunk_55195.txt,3.0193912982940674,543,20.478824615478516
70,chunk_56941.txt,3.1229097843170166,1142,22.712371826171875
71,chunk_16196.txt,3.0196011066436768,755,20.48311996459961
72,chunk_53957.txt,2.3280346393585205,1275,10.25776195526123
73,chunk_7523.txt,2.9080798625946045,580,18.321584701538086
74,chunk_11147.txt,2.851954460144043,785,17.321603775024414
75,chunk_33192.txt,2.6486542224884033,623,14.135003089904785
76,chunk_188.txt,2.715399742126465,402,15.110649108886719
77,chunk_31399.txt,2.7869555950164795,342,16.23152732849121
78,chunk_41317.txt,2.9707980155944824,819,19.50748062133789
79,chunk_38185.txt,3.1106576919555664,1376,22.435794830322266
80,chunk_12091.txt,3.0010435581207275,844,20.106508255004883
81,chunk_32598.txt,2.5922369956970215,862,13.359623908996582
82,chunk_50215.txt,2.769998550415039,1027,15.958611488342285
83,chunk_9608.txt,3.7346484661102295,389,41.8733024597168
84,chunk_57229.txt,2.43229603767395,868,11.384993553161621
85,chunk_61066.txt,2.837899684906006,880,17.07985496520996
86,chunk_34210.txt,2.3461925983428955,907,10.445722579956055
87,chunk_28979.txt,2.973238229751587,819,19.55514144897461
88,chunk_12361.txt,2.4120004177093506,1523,11.156255722045898
89,chunk_52889.txt,2.364971876144409,1639,10.643739700317383
90,chunk_12573.txt,2.844130754470825,933,17.186613082885742
91,chunk_11740.txt,2.4951107501983643,478,12.123076438903809
92,chunk_15523.txt,3.001692056655884,512,20.119552612304688
93,chunk_11596.txt,2.753702402114868,773,15.700654983520508
94,chunk_1465.txt,3.086306095123291,588,21.896045684814453
95,chunk_12057.txt,2.6620852947235107,2400,14.326132774353027
96,chunk_32108.txt,2.864686965942383,892,17.543560028076172
97,chunk_50844.txt,2.3817660808563232,854,10.824002265930176
98,chunk_47515.txt,2.993952989578247,277,19.964445114135742
99,chunk_18682.txt,2.7019903659820557,489,14.909377098083496
100,chunk_61817.txt,3.012600898742676,893,20.340234756469727
101,chunk_46907.txt,2.6171014308929443,1798,13.695967674255371
102,chunk_34369.txt,3.037681818008423,1557,20.856836318969727
103,chunk_39339.txt,2.1385257244110107,1318,8.486916542053223
104,chunk_21926.txt,2.8324222564697266,850,16.986557006835938
105,chunk_28775.txt,2.7480340003967285,774,15.611908912658691
106,chunk_42162.txt,2.232067584991455,828,9.319114685058594
107,chunk_34988.txt,4.504068851470947,128,90.38414764404297
108,chunk_10199.txt,2.8789710998535156,474,17.79595375061035
109,chunk_54793.txt,3.059257745742798,176,21.311731338500977
110,chunk_45850.txt,2.7885375022888184,502,16.257225036621094
111,chunk_35541.txt,2.5122036933898926,797,12.332076072692871
112,chunk_37361.txt,2.4093523025512695,1321,11.126751899719238
113,chunk_53816.txt,2.7674994468688965,309,15.918778419494629
114,chunk_18707.txt,2.897061824798584,910,18.120824813842773
115,chunk_14578.txt,2.7811055183410645,843,16.136852264404297
116,chunk_11439.txt,2.3911705017089844,1911,10.926276206970215
117,chunk_34012.txt,2.303647994995117,409,10.010635375976562
118,chunk_25535.txt,3.053279161453247,506,21.1846981048584
119,chunk_59741.txt,2.9100427627563477,389,18.35758399963379
120,chunk_3755.txt,3.116633176803589,270,22.570262908935547
121,chunk_25873.txt,2.868279457092285,767,17.606698989868164
122,chunk_46374.txt,3.2519116401672363,818,25.839689254760742
123,chunk_51520.txt,3.5006566047668457,309,33.137203216552734
124,chunk_28270.txt,2.224431037902832,836,9.24821949005127
125,chunk_34737.txt,2.4017186164855957,1075,11.042137145996094
126,chunk_3659.txt,2.774728775024414,797,16.034276962280273
127,chunk_41896.txt,3.2555456161499023,1022,25.933761596679688
128,chunk_54790.txt,2.641075611114502,1207,14.028284072875977
129,chunk_7237.txt,2.804245710372925,693,16.51461410522461
130,chunk_59558.txt,1.5845891237258911,929,4.877286911010742
131,chunk_9825.txt,2.8467676639556885,655,17.231992721557617
132,chunk_40839.txt,2.796537160873413,517,16.387800216674805
133,chunk_61585.txt,3.0364692211151123,639,20.831562042236328
134,chunk_1996.txt,2.9867730140686035,1555,19.82161521911621
135,chunk_54320.txt,2.705277919769287,403,14.958473205566406
136,chunk_56464.txt,2.6716091632843018,365,14.463224411010742
137,chunk_22645.txt,2.1624338626861572,901,8.692267417907715
138,chunk_6984.txt,2.6326231956481934,540,13.910212516784668
139,chunk_44264.txt,2.854337215423584,811,17.362924575805664
140,chunk_50483.txt,2.1837849617004395,1086,8.879852294921875
141,chunk_23703.txt,2.6061477661132812,760,13.546765327453613
142,chunk_29714.txt,2.8242619037628174,888,16.8485050201416
143,chunk_18241.txt,3.8847570419311523,337,48.655120849609375
144,chunk_58449.txt,2.684134006500244,553,14.645513534545898
145,chunk_62929.txt,2.7965736389160156,358,16.388397216796875
146,chunk_57625.txt,2.4447150230407715,788,11.527264595031738
147,chunk_21755.txt,2.4779140949249268,832,11.916382789611816
148,chunk_38716.txt,2.946143627166748,842,19.03241539001465
149,chunk_38095.txt,2.479818105697632,448,11.939092636108398
150,chunk_57484.txt,2.789700746536255,868,16.276147842407227
151,chunk_13136.txt,2.0617165565490723,947,7.859449863433838
152,chunk_25074.txt,1.896584391593933,1019,6.663097381591797
153,chunk_55571.txt,2.5255770683288574,1327,12.498106002807617
154,chunk_60800.txt,2.591339111328125,929,13.347633361816406
155,chunk_5995.txt,2.3930070400238037,791,10.94636058807373
156,chunk_59224.txt,2.234935998916626,790,9.3458833694458
157,chunk_51950.txt,2.460226058959961,769,11.707457542419434
158,chunk_34415.txt,2.9648497104644775,402,19.391788482666016
159,chunk_45133.txt,2.8172295093536377,1285,16.73043441772461
160,chunk_16240.txt,2.993942975997925,817,19.96424674987793
161,chunk_26673.txt,2.794567346572876,818,16.35555076599121
162,chunk_48666.txt,2.5374555587768555,365,12.64745044708252
163,chunk_46648.txt,2.7200887203216553,788,15.181669235229492
164,chunk_14680.txt,3.416151285171509,728,30.451988220214844
165,chunk_56671.txt,2.7340500354766846,872,15.395112037658691
166,chunk_60262.txt,2.6913650035858154,1062,14.751798629760742
167,chunk_48724.txt,2.8447861671447754,919,17.1978816986084
168,chunk_14165.txt,2.905632972717285,535,18.27680778503418
169,chunk_33012.txt,3.1833317279815674,760,24.127004623413086
170,chunk_787.txt,3.0748424530029297,122,21.646472930908203
171,chunk_4074.txt,2.506369113922119,975,12.260334014892578
172,chunk_27925.txt,3.655592441558838,164,38.69043731689453
173,chunk_42554.txt,2.3538613319396973,682,10.52613639831543
174,chunk_12633.txt,2.012591600418091,658,7.482684135437012
175,chunk_46164.txt,2.551990509033203,618,12.832621574401855
