Sample,File,Log Likelihood,# of Tokens,Perplexity
1,chunk_61255.txt,1.7857639789581299,847,5.964134693145752
2,chunk_2203.txt,2.8298778533935547,416,16.943391799926758
3,chunk_50822.txt,2.696491003036499,900,14.827610969543457
4,chunk_4352.txt,2.5608391761779785,711,12.946678161621094
5,chunk_57669.txt,2.7995479106903076,481,16.437213897705078
6,chunk_42142.txt,3.443237543106079,50,31.2880916595459
7,chunk_44372.txt,2.4009642601013184,817,11.03381061553955
8,chunk_48094.txt,2.6684718132019043,722,14.417919158935547
9,chunk_16891.txt,2.860597610473633,439,17.471965789794922
10,chunk_44182.txt,2.613558292388916,756,13.647525787353516
11,chunk_30231.txt,1.7569210529327393,516,5.7945685386657715
12,chunk_41229.txt,2.6730427742004395,650,14.48397445678711
13,chunk_32549.txt,1.8878501653671265,642,6.605153560638428
14,chunk_23252.txt,1.9615665674209595,783,7.110457420349121
15,chunk_35644.txt,2.3252158164978027,1413,10.228887557983398
16,chunk_6100.txt,2.416322708129883,572,11.204581260681152
17,chunk_32165.txt,2.82094144821167,756,16.792652130126953
18,chunk_53943.txt,2.453310012817383,733,11.626768112182617
19,chunk_40764.txt,1.6988493204116821,426,5.467652320861816
20,chunk_29772.txt,5.204761981964111,24,182.1375274658203
21,chunk_23752.txt,2.4719901084899902,894,11.84599781036377
22,chunk_37803.txt,4.801953315734863,26,121.74800109863281
23,chunk_41659.txt,2.2090587615966797,809,9.10714054107666
24,chunk_48924.txt,2.330994129180908,676,10.288164138793945
25,chunk_52060.txt,1.4721571207046509,977,4.358626842498779
26,chunk_59527.txt,2.4312193393707275,485,11.372740745544434
27,chunk_13848.txt,2.663785696029663,1094,14.350512504577637
28,chunk_17691.txt,3.032639980316162,396,20.75194549560547
29,chunk_22148.txt,2.829899311065674,528,16.943754196166992
30,chunk_25742.txt,2.5621190071105957,548,12.963258743286133
31,chunk_19134.txt,1.559059977531433,883,4.754350185394287
32,chunk_12334.txt,2.5424208641052246,1083,12.710404396057129
33,chunk_22776.txt,2.6286301612854004,476,13.854778289794922
34,chunk_6512.txt,2.932234764099121,668,18.769527435302734
35,chunk_16752.txt,2.7267775535583496,588,15.283557891845703
36,chunk_10429.txt,2.951791524887085,980,19.140213012695312
37,chunk_26273.txt,2.7769103050231934,746,16.06929588317871
38,chunk_23381.txt,3.0304455757141113,525,20.706457138061523
39,chunk_38762.txt,2.937973976135254,717,18.877561569213867
40,chunk_18038.txt,2.4931845664978027,1584,12.099747657775879
41,chunk_49300.txt,2.667907238006592,510,14.409781455993652
42,chunk_43091.txt,2.4913461208343506,629,12.077523231506348
43,chunk_6540.txt,2.4374029636383057,1341,11.443284034729004
44,chunk_24226.txt,2.4914863109588623,634,12.079216003417969
45,chunk_61668.txt,2.6097335815429688,842,13.595428466796875
46,chunk_36920.txt,2.4035589694976807,308,11.062478065490723
47,chunk_43553.txt,2.7185139656066895,703,15.157780647277832
48,chunk_20245.txt,2.8660593032836914,776,17.56765365600586
49,chunk_51383.txt,2.742373466491699,604,15.523786544799805
50,chunk_45706.txt,2.7375481128692627,987,15.44905948638916
51,chunk_46036.txt,3.0688283443450928,46,21.516679763793945
52,chunk_57260.txt,1.3456671237945557,291,3.840747833251953
53,chunk_15675.txt,2.7191097736358643,863,15.166814804077148
54,chunk_12576.txt,2.416440725326538,961,11.205903053283691
55,chunk_19655.txt,2.737290382385254,1309,15.445077896118164
56,chunk_19374.txt,2.69740891456604,1123,14.841227531433105
57,chunk_43405.txt,2.18167781829834,3450,8.861161231994629
58,chunk_54440.txt,2.8898532390594482,694,17.99066925048828
59,chunk_63098.txt,2.623192310333252,741,13.779642105102539
60,chunk_34225.txt,3.2735743522644043,709,26.405553817749023
61,chunk_19506.txt,2.1766974925994873,920,8.817139625549316
62,chunk_219.txt,2.6512808799743652,480,14.17218017578125
63,chunk_33894.txt,2.8776962757110596,505,17.77328109741211
64,chunk_25289.txt,2.9932122230529785,888,19.949661254882812
65,chunk_1347.txt,2.5596072673797607,2823,12.93073844909668
66,chunk_39498.txt,2.6432945728302,898,14.0594482421875
